kernel,C,gamma,epsilon,degree,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
poly,"1,0",0.001,5,2,58.774775163549926,"358,60155608842274","296,9649977468148","58,774775163549926","337,6289126042432","296,96499774681473","58,774775163549926","57,62265602135613","53,103992262821436","51,983064070812716","47,99979773083267","41,91824508221024","66,25990423672756","92,53576674008872"
poly,"10,0",0.001,5,3,58.77936880655524,"358,5868466448151","296,98270783992916","58,77936880655524","337,61890670023206","296,9827078399292","58,77936880655524","57,62200912486851","53,119499794407716","51,99979257431459","48,006374253570385","41,91623084195481","66,25772089152369","92,53395416524698"
poly,"1,0",0.001,50,2,58.82324500477473,"359,06035612477115","297,44260910662535","58,82324500477473","338,0703894097351","297,44260910662535","58,82324500477473","57,665945701341585","53,1542944509941","52,02323178330057","48,04478477532295","41,966215441320344","66,31948027175666","92,58876260938689"
poly,"10,0",0.001,50,3,58.82704032208227,"359,0366655192046","297,4523826400158","58,82704032208227","338,0521866114524","297,4523826400158","58,827040322082276","57,66435904998728","53,16883127948296","52,03896735912688","48,0508256226792","41,963285098189985","66,31666436325597","92,58634948185365"
poly,"0,1",0.001,25,2,58.86709459113982,"359,63004533378154","297,95121766230295","58,86709459113982","338,6081098961734","297,95121766230295","58,867094591139825","57,70822409455592","53,21828778989851","52,09842583395533","48,11100836892108","42,00733514269561","66,3346309517278","92,5917499562245"
poly,"1,0",0.001,25,3,58.8678192883154,"359,6310653665762","297,95562863758323","58,8678192883154","338,6095355677671","297,95562863758323","58,867819288315395","57,708375450414934","53,22011788774897","52,10030593560141","48,1119327850124","42,007388003832986","66,33474315139492","92,59187180420216"
poly,"0,1",0.001,25,3,58.884037454473756,"359,8051719324091","298,1258625472584","58,884037454473756","338,7757926772025","298,1258625472584","58,884037454473756","57,72347205286237","53,23789026991497","52,116337877525865","48,12932374206767","42,0237984219348","66,35169527434377","92,60574454266683"
poly,"1,0",0.001,1,3,58.93165326644215,"360,23383812274994","298,58618779818414","58,93165326644215","339,19059239229824","298,58618779818414","58,931653266442154","57,7644769752543","53,28653144768992","52,152264486561236","48,171289670191385","42,07081150497518","66,41424854362238","92,66195023680064"
poly,"0,1",0.001,1,2,58.93205632064369,"360,24338336997374","298,5929137405988","58,93205632064369","339,19936935524373","298,5929137405988","58,932056320643696","57,76529994246016","53,28586909787971","52,15129125698307","48,17141738427782","42,07186244405973","66,41556694709922","92,66308717174613"
poly,"0,1",0.001,5,2,58.933271369936996,"360,25489397003633","298,6049373774347","58,933271369936996","339,21047653448625","298,6049373774346","58,933271369936996","57,76637672951336","53,287137427766744","52,15228022349818","48,172550661942616","42,07306885899904","66,41707364321411","92,66441204462495"
poly,"1,0",0.001,5,3,58.93406513300836,"360,25666089066283","298,61003599680225","58,93406513300836","339,21260972364456","298,61003599680225","58,93406513300835","57,766601539875566","53,2890444697473","52,154223965845155","48,1735345787097","42,07320920948979","66,41724974988287","92,66459241750809"
poly,"0,1",0.001,1,3,58.947800622283694,"360,4076838823755","298,75594675974895","58,947800622283694","339,3566996232656","298,75594675974895","58,9478006222837","57,779502041272266","53,30421344230716","52,16821608626214","48,18859071101531","42,08726811451794","66,43108996260257","92,67572399800846"
poly,"0,1",0.001,5,3,58.94977009893085,"360,42634096307904","298,7754270630726","58,94977009893085","339,3746942497179","298,77542706307264","58,94977009893085","57,78123317896828","53,306262401043554","52,16981807489594","48,190421568655566","42,08922823798161","66,43354216456555","92,67788506640545"
poly,"1,0",0.001,50,3,58.98220228631413,"360,71203606270853","299,08593723341335","58,98220228631413","339,6518303513771","299,08593723341335","58,98220228631413","57,809256366534335","53,33908988021395","52,19330883131062","48,21815512313509","42,12127780798071","66,47703643864969","92,71729155637448"
poly,"0,1",0.001,50,2,58.98273920434144,"360,72308147761646","299,0940361036274","58,98273920434144","339,66201308354124","299,0940361036274","58,98273920434144","57,810187137551225","53,33860394819402","52,19248964419613","48,21841056935202","42,12246104632424","66,4784818405962","92,71854024417625"
