fe_latent_dim,fe_dense_layers,enc_hidden_size,enc_layers,dec_hidden_size,dec_layers,encoder_dropout,decoder_dropout,encoder_hidden_size,encoder_layers,decoder_hidden_size,decoder_layers,learning_rate,max_epochs,patience,batch_size,sequence_length,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
33,1,48,1,48,2,"0,0","0,2",48,1,48,2,"0,0005",60,20,64,168,48,60,DK1,2 years,2024-01-01,"71,56393232504625","264,245352015336","218,82744363068497","71,56393232504625","248,6597406403614","218,82744363068497","71,56393232504624","54,38818266540446","45,2353566649769","51,71109842858094","64,63314601817086","76,41138041036027","95,1530954398333","113,41526664799706"
33,1,48,1,28,1,"0,0","0,0",48,1,28,1,"0,001",60,20,32,168,39,59,DK1,2 years,2024-01-01,"71,69411593694684","245,00451146321439","205,02703273247909","71,69411593694684","230,76764483832696","205,02703273247909","71,69411593694686","59,32913715383364","46,865499601073225","52,08622471270972","71,58659399071932","75,68777212308053","90,78022364096009","105,52336033625141"
33,1,48,1,33,2,"0,0","0,0",48,1,33,2,"0,0005",60,20,32,24,32,52,DK1,2 years,2024-01-01,"71,90385707647646","260,366770601559","216,01824720628468","71,90385707647646","246,77326729957102","216,01824720628466","71,90385707647644","56,078147962638475","47,56649630174276","59,49958345964212","64,31875701831072","73,26117930774447","95,31468745137802","107,28814803387861"
33,1,48,1,48,2,"0,0","0,0",48,1,48,2,"0,001",60,20,64,168,42,60,DK1,2 years,2024-01-01,"71,90489743062207","245,74644430175363","207,47323241738408","71,90489743062207","232,79314690267688","207,47323241738417","71,90489743062207","56,63192200856538","52,145131396068436","51,8647440255506","60,61732404407847","80,16229209431825","94,53243274684198","107,38043569893142"
33,1,48,2,48,1,"0,0","0,0",48,2,48,1,"0,001",60,20,64,168,23,43,DK1,2 years,2024-01-01,"71,90837111594905","254,186900605154","208,78734422036376","71,90837111594905","237,18776660578027","208,78734422036374","71,90837111594907","50,56099769337318","54,07200412299103","58,08806547289065","72,16826966582579","78,52510550098427","97,62421593265927","92,31993942291919"
33,1,48,2,28,2,"0,2","0,2",48,2,28,2,"0,001",60,20,64,24,36,56,DK1,2 years,2024-01-01,"72,3047506925281","269,4123595741002","223,23041172757559","72,3047506925281","254,54156304134384","223,23041172757556","72,30475069252809","56,60746091519789","50,22336214035984","57,381100599070706","67,30150300714651","79,58098718806293","94,94368580822409","100,09515518963472"
33,1,33,2,48,2,"0,2","0,2",33,2,48,2,"0,0005",60,20,32,168,24,44,DK1,2 years,2024-01-01,"72,39607098525858","254,22936563947906","210,7314219924152","72,39607098525858","240,0919373942987","210,7314219924152","72,39607098525859","56,51470421386142","56,59472007396768","63,04031711789635","70,6785463014995","72,35230197498255","95,6730878925303","91,9188193220723"
33,1,48,1,48,2,"0,0","0,2",48,1,48,2,"0,0005",60,20,64,24,53,60,DK1,2 years,2024-01-01,"72,5044831380682","257,72131286798555","209,70439142452847","72,5044831380682","243,75803211584434","209,70439142452847","72,5044831380682","56,0658783314577","49,78475465109371","59,33124183868672","64,20358647104013","76,27977976974636","91,28952982282394","110,57661108162876"
33,1,48,2,33,2,"0,2","0,2",48,2,33,2,"0,0005",60,20,32,168,32,52,DK1,2 years,2024-01-01,"72,89371055080778","266,3814088226969","219,89060195269337","72,89371055080778","250,92242828994668","219,8906019526934","72,89371055080778","54,36783793725536","47,06814313847727","59,0855838274824","75,82986232277356","76,36841490808507","98,69819824904147","98,83793347253936"
33,1,48,2,48,2,"0,2","0,2",48,2,48,2,"0,0005",60,20,32,168,34,54,DK1,2 years,2024-01-01,"72,95237321807186","254,0738356470796","211,44156853759438","72,95237321807186","238,4075810018534","211,44156853759438","72,95237321807186","56,2199215373052","47,8982385669095","55,81536708803837","69,59245668585379","75,19745450112457","99,6815243672146","106,26164978005698"
