fe_latent_dim,fe_dense_layers,enc_hidden_size,enc_layers,dec_hidden_size,encoder_hidden_size,layers,decoder_hidden_size,learning_rate,max_epochs,patience,batch_size,sequence_length,dropout,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
48,1,32,2,48,32,2,48,"0,001",60,10,32,168,"0,0",38,48,DK1,2 years,2024-01-01,"73,91807966330825","260,1530605509623","214,56824235564315","73,91807966330825","249,08329804558835","214,56824235564315","73,91807966330825","69,67663647568718","41,95808551961673","41,39570698878196","62,66995392797803","79,61630559481821","89,23419675123756","132,87567238503811"
48,1,32,2,16,32,2,16,"0,001",60,10,64,168,"0,0",60,60,DK1,2 years,2024-01-01,"73,94196028748333","276,2036607072698","229,69629010812827","73,94196028748333","261,1022542389004","229,69629010812827","73,94196028748333","64,84154231147302","45,578082497478306","53,192771985236085","75,63591224899056","83,06442963302135","91,82075597885168","103,46022735733226"
48,1,32,1,32,32,1,32,"0,001",60,10,32,24,"0,0",24,34,DK1,2 years,2024-01-01,"74,06663471100278","259,4898107965082","214,1874986718463","74,06663471100278","246,65613658524651","214,1874986718463","74,06663471100278","61,127103865940576","52,698582378750686","46,15242658895435","64,75328419510971","81,74446930424394","93,34725501580833","118,64332162821192"
48,1,48,1,16,48,1,16,"0,001",60,10,32,24,"0,0",32,42,DK1,2 years,2024-01-01,"74,09733772081167","273,9017245817469","226,024476914479","74,09733772081167","257,60970985730086","226,02447691447904","74,09733772081167","63,58940856416147","44,79991203406332","50,75943079007791","63,62521382871794","83,29956944574431","98,38522048361862","114,22260889929807"
48,1,16,2,32,16,2,32,"0,001",60,10,64,24,"0,0",41,51,DK1,2 years,2024-01-01,"74,31187643055338","262,7908995797335","216,68697898149443","74,31187643055338","247,14374717826144","216,6869789814944","74,31187643055338","65,07703080976526","47,890493678131804","50,22143409136829","65,6522134015736","85,15139974328676","92,48167478711576","113,70888850263216"
48,1,48,2,16,48,2,16,"0,001",60,10,64,168,"0,0",60,60,DK1,2 years,2024-01-01,"74,32136346346155","269,9110109242848","221,63411096293095","74,32136346346155","255,12823766853538","221,63411096293095","74,32136346346155","65,4739961232825","45,27528396933428","52,91942384015878","78,38850473692271","79,8504806487107","92,21314998148206","106,12870494433982"
48,1,16,2,32,16,2,32,"0,001",60,10,64,168,"0,2",51,60,DK1,2 years,2024-01-01,"74,5572389319835","269,03220494955355","225,18608238999556","74,5572389319835","256,9897404347972","225,1860823899956","74,5572389319835","65,5312697122632","50,736108713867715","37,89551727229522","56,96128853895093","76,21955040211812","100,07111556538506","134,48582231900437"
48,1,16,2,32,16,2,32,"0,001",60,10,64,24,"0,2",31,41,DK1,2 years,2024-01-01,"74,5977096403559","274,4873778398875","226,12114962165788","74,5977096403559","261,52957721426475","226,12114962165788","74,5977096403559","69,60013844909277","46,1959492759302","54,00885546237331","72,6190296093538","79,28938340684807","94,46925604214086","106,00135523675232"
48,1,32,1,16,32,1,16,"0,001",60,10,32,168,"0,0",31,41,DK1,2 years,2024-01-01,"74,75435335214794","273,2659496745709","227,8500776887185","74,75435335214794","258,85369162985086","227,85007768871853","74,75435335214793","60,57528476927317","44,976168834980214","52,49530367858858","68,41852235595786","82,24487552092242","98,76002107600961","115,81029722930376"
48,1,32,1,16,32,1,16,"0,001",60,10,64,168,"0,0",60,60,DK1,2 years,2024-01-01,"74,7863933573162","273,2013066823033","227,5857343886337","74,7863933573162","259,436200666101","227,58573438863368","74,7863933573162","59,49843729834687","46,65732347891844","54,58862827383026","72,61039453493811","80,90006860336693","93,04206659025425","116,2078347215586"
48,1,48,2,32,48,2,32,"0,001",60,10,32,24,"0,0",15,25,DK1,2 years,2024-01-01,"74,83118897154017","272,6363686861329","226,74181462594493","74,83118897154017","257,46865293230667","226,74181462594495","74,83118897154019","60,758011853892796","45,19981617084689","55,8840786496369","71,94867456730765","83,6234302372786","95,08754690567207","111,31676441614633"
48,1,32,2,32,32,2,32,"0,001",60,10,32,24,"0,0",17,27,DK1,2 years,2024-01-01,"75,28422374748483","269,8532297070676","225,83034643048305","75,28422374748483","255,70790131481044","225,83034643048308","75,28422374748484","60,29467863303487","46,055551024226105","50,514904983017864","74,02615025690324","83,6110890185978","96,15194202468192","116,33525029193206"
48,1,48,1,32,48,1,32,"0,001",60,10,32,168,"0,0",18,28,DK1,2 years,2024-01-01,"75,43846695454612","277,39116691861534","229,5267695324032","75,43846695454612","263,1458744370633","229,52676953240322","75,43846695454612","65,59618097463516","44,22470381235362","49,57951028484736","65,42550479813859","79,73338072565295","105,85102247778582","117,65896560840937"
48,1,48,1,16,48,1,16,"0,001",60,10,64,24,"0,0",60,60,DK1,2 years,2024-01-01,"75,45124009446667","280,6883982073091","233,8513799315814","75,45124009446667","265,2096850481542","233,85137993158142","75,45124009446667","64,01038813333776","45,22182396318303","54,3145081809249","66,6538474708374","83,19007703240652","92,35003873977446","122,4179971408026"
48,1,16,2,48,16,2,48,"0,001",60,10,32,24,"0,2",12,22,DK1,2 years,2024-01-01,"75,52727027213754","274,7873004866816","225,80504864782256","75,52727027213754","259,7819610971511","225,80504864782256","75,52727027213753","63,65478736235611","46,30717541791387","47,24790539437807","65,81661981184162","79,47569918297052","99,20640020408155","126,98230453142101"
48,1,16,2,48,16,2,48,"0,001",60,10,64,168,"0,0",21,31,DK1,2 years,2024-01-01,"75,90218871814898","271,371967939109","223,2603876720156","75,90218871814898","254,76274653762954","223,2603876720156","75,90218871814896","71,67731978348851","44,57824552610616","55,66396630651057","73,51533635879127","79,82652533519428","96,03301610496717","110,02091161198484"
48,1,32,2,32,32,2,32,"0,001",60,10,64,24,"0,2",38,48,DK1,2 years,2024-01-01,"75,92625746644542","271,41129087202347","222,05898678635924","75,92625746644542","256,99574896867705","222,0589867863592","75,92625746644542","63,49249191360517","46,71815812099045","48,60618794421599","69,37594879486532","83,82691123287614","97,93368255936063","121,53042169920425"
48,1,16,2,16,16,2,16,"0,001",60,10,32,168,"0,0",34,44,DK1,2 years,2024-01-01,"76,04853077940574","277,3881883711914","228,7377458225628","76,04853077940574","262,15590923538923","228,73774582256283","76,04853077940574","65,42276156165853","47,675824210572245","52,5715597674801","73,92303698305827","80,08558556356863","94,85976922651204","117,8011781429904"
48,1,48,2,32,48,2,32,"0,001",60,10,64,168,"0,0",32,42,DK1,2 years,2024-01-01,"76,2785546651507","273,2896547393584","224,33527115678262","76,2785546651507","257,07568853212575","224,33527115678265","76,27855466515071","53,09217815966075","44,64353429306466","53,906558460507895","70,95652883634719","92,08312290884027","106,19934340999622","113,06861658763792"
48,1,32,2,16,32,2,16,"0,001",60,10,32,24,"0,2",34,44,DK1,2 years,2024-01-01,"76,77711654856736","274,44548268676175","228,84600386709522","76,77711654856736","258,7542784550652","228,84600386709522","76,77711654856736","62,822269858593074","48,40394446096783","55,25806267944233","64,73976295841571","81,03784547643767","94,56750288150525","130,6104275246097"
48,1,48,2,16,48,2,16,"0,001",60,10,64,24,"0,2",60,60,DK1,2 years,2024-01-01,"76,92494179857246","282,6331966108287","232,61189291372534","76,92494179857246","267,4311703457373","232,6118929137254","76,92494179857246","61,33029917912807","45,629363935401905","51,60050029508929","64,78617577752223","81,54430443855931","105,04703506124481","128,5369139030616"
48,1,32,2,48,32,2,48,"0,001",60,10,64,24,"0,0",22,32,DK1,2 years,2024-01-01,"76,94488641180133","273,5286278271504","226,20413249631326","76,94488641180133","256,1210979500256","226,20413249631324","76,94488641180133","71,7613372847771","47,20710402203358","51,61284453680971","73,74495443045437","85,30072624627441","97,4628862412013","111,52435212105887"
48,1,32,2,16,32,2,16,"0,001",60,10,64,24,"0,2",59,60,DK1,2 years,2024-01-01,"77,012991307076","276,74840423845956","229,09748420610765","77,012991307076","261,53951369049435","229,09748420610762","77,01299130707602","61,540822817257876","43,443642323212345","55,800769738980705","78,04742197317366","86,59555756198121","103,59092315347198","110,07180158145428"
48,1,16,2,48,16,2,48,"0,001",60,10,64,168,"0,2",43,53,DK1,2 years,2024-01-01,"77,1450286557946","267,5630159533296","220,4849156210783","77,1450286557946","249,6094820836867","220,4849156210783","77,14502865579459","67,29151597221032","45,36215606673329","41,776151496904056","69,17743486030017","82,81674805416483","94,3644456735007","139,2267484667488"
48,1,32,2,32,32,2,32,"0,001",60,10,64,24,"0,0",34,44,DK1,2 years,2024-01-01,"77,46955543738895","280,51580792690993","232,90873739967526","77,46955543738895","263,8117409707717","232,9087373996753","77,46955543738895","63,72511843025505","45,04560259998236","53,779088554837905","72,56878525387546","87,40394006466988","91,18407573382426","128,58027742427774"
48,1,48,2,48,48,2,48,"0,001",60,10,64,168,"0,0",23,33,DK1,2 years,2024-01-01,"77,60348740612098","282,225996424035","229,38560050808246","77,60348740612098","264,11845413603373","229,38560050808246","77,603487406121","65,42533821460233","43,80413586732621","57,39342982918164","76,53560130329546","88,36779472837769","98,50140257617875","113,19670932388489"
48,1,32,2,16,32,2,16,"0,001",60,10,32,168,"0,2",26,36,DK1,2 years,2024-01-01,"77,64213835156653","291,23912860218195","244,09848215180983","77,64213835156653","275,14508249177845","244,09848215180986","77,64213835156654","68,3431949118247","46,479609726843755","63,829958908475675","70,59870338121345","80,91580272838235","98,80041093328131","114,52728787094455"
