n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
500,"0,01",63,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"56,36496706012316","291,3652701403977","234,65793283471635","56,36496706012316","278,43452600373683","234,65793283471635","56,36496706012316","51,97554605267655","51,05532266024778","50,58273371014862","48,69139228024319","43,42873882907102","61,71450325799924","87,10653263047575"
50,"0,1",63,-1,20,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"56,39031890367092","286,7191924969631","230,40883978489023","56,39031890367092","273,4638715885641","230,40883978489026","56,39031890367092","52,68892082101638","53,22588437845275","52,91025654902057","47,588779237389545","41,602311053457356","60,104374989713804","86,61170529664602"
500,"0,01",127,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"56,54319990367645","288,93239819459984","233,12884310126532","56,54319990367645","276,3593816562403","233,12884310126532","56,543199903676445","52,58038379568748","52,031799120756716","51,67139526876387","47,82547498336314","43,58755616195851","60,62519002625405","87,4805999689514"
500,"0,01",63,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"56,64048080113973","291,0407790169005","235,1121480222797","56,64048080113973","278,08863905417394","235,11214802227968","56,64048080113973","52,924712265688996","51,885482491710796","51,56229213040901","48,65706393563893","42,6968246098387","61,56184593859593","87,19514423609576"
500,"0,01",63,-1,20,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"56,644247344030035","290,2067662414431","234,11435616206157","56,644247344030035","277,22993557787214","234,11435616206154","56,64424734403003","52,649951936376844","51,56785345996198","50,76644764129547","49,15523151253717","43,890914732419176","61,24257163672164","87,23676048889793"
500,"0,01",127,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"56,678981192562176","292,92180482132324","236,13699308262028","56,678981192562176","279,7025388108619","236,13699308262025","56,67898119256217","52,619694596893204","52,036636147482426","51,91367165953711","48,69493436777468","42,53527378944971","61,66220571105999","87,29045207573813"
500,"0,01",63,-1,50,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"56,735174343398896","289,62448827867854","233,98330288837803","56,735174343398896","276,6542756131433","233,98330288837806","56,7351743433989","52,664574530779475","51,83351715751017","52,08387750614413","48,81054555249646","43,5846814791128","61,032054833720736","87,1369693440285"
50,"0,1",63,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"56,996314609422406","290,2702100307208","234,55717402377775","56,996314609422406","277,4402873462124","234,55717402377772","56,996314609422406","53,374530732838636","50,610025190565224","51,76266688182932","49,382236386306204","44,937567797086814","61,71984216206734","87,18733311526333"
500,"0,01",127,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"57,01772435225762","289,1537491419433","233,52028506433038","57,01772435225762","276,10435989949474","233,52028506433038","57,01772435225763","51,80499906715656","51,7489193379901","53,77656272739277","48,299147683076505","42,94113364595894","61,77266599301683","88,78064201121167"
500,"0,01",127,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"57,08110530997118","292,3888733555775","236,34032994278022","57,08110530997118","279,07778329905784","236,34032994278024","57,08110530997118","53,432053805259486","52,816786982955044","52,301472600216215","49,25831927148914","43,23813433448168","61,258846270240525","87,26212390515612"
50,"0,1",63,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"57,11661119623771","292,55806619854764","236,48555772530239","57,11661119623771","279,0757324446049","236,48555772530239","57,11661119623771","52,7835695266936","51,05433072626528","52,70536562943004","50,277863125385394","43,50211210383811","62,35074424091591","87,14229302113566"
